,team,elo
10,Melbourne,1642.5555094458405
1,Brisbane Lions,1586.4465401994767
15,Sydney,1572.8376387809926
6,Geelong,1567.582821769902
14,St Kilda,1548.1609413528568
17,Western Bulldogs,1531.0986240964014
12,Port Adelaide,1525.820276782306
5,Fremantle,1517.3580051930517
13,Richmond,1490.9805661940716
3,Collingwood,1476.1259788379778
9,Hawthorn,1473.5770442942087
8,Greater Western Sydney,1462.0655865233207
2,Carlton,1455.5589231113572
4,Essendon,1453.2114869692527
0,Adelaide,1451.971466156772
7,Gold Coast,1433.0625390261625
16,West Coast,1430.046637387691
11,North Melbourne,1383.4015556343898
