provider_id,year,kickoff,season_name,round_number,venue,home_team,home_goals,home_behinds,away_team,away_goals,away_behinds
CD_M20131010101,2013,2013-02-15T07:45:00.000+0000,2013 AFL NAB Cup,1,Marvel Stadium,Essendon,5,6,Western Bulldogs,1,4
CD_M20131010102,2013,2013-02-15T08:50:00.000+0000,2013 AFL NAB Cup,1,Marvel Stadium,Western Bulldogs,4,5,Collingwood,6,2
CD_M20131010103,2013,2013-02-15T09:55:00.000+0000,2013 AFL NAB Cup,1,Marvel Stadium,Collingwood,2,10,Essendon,4,5
CD_M20131010104,2013,2013-02-16T08:40:00.000+0000,2013 AFL NAB Cup,1,Domain Stadium,West Coast,6,2,Geelong,6,4
CD_M20131010105,2013,2013-02-16T09:45:00.000+0000,2013 AFL NAB Cup,1,Domain Stadium,Fremantle,7,6,Geelong,4,6
CD_M20131010106,2013,2013-02-16T10:50:00.000+0000,2013 AFL NAB Cup,1,Domain Stadium,West Coast,4,7,Fremantle,2,4
CD_M20131010107,2013,2013-02-17T05:40:00.000+0000,2013 AFL NAB Cup,1,AAMI Stadium,Adelaide,3,6,St Kilda,8,2
CD_M20131010108,2013,2013-02-17T06:45:00.000+0000,2013 AFL NAB Cup,1,AAMI Stadium,Port Adelaide,9,2,St Kilda,2,3
CD_M20131010109,2013,2013-02-17T07:50:00.000+0000,2013 AFL NAB Cup,1,AAMI Stadium,Adelaide,6,7,Port Adelaide,4,3
CD_M20131010110,2013,2013-02-22T07:45:00.000+0000,2013 AFL NAB Cup,1,Marvel Stadium,Kangaroos,4,5,Melbourne,5,6
CD_M20131010111,2013,2013-02-22T08:50:00.000+0000,2013 AFL NAB Cup,1,Marvel Stadium,Melbourne,2,3,Richmond,2,9
CD_M20131010112,2013,2013-02-22T09:55:00.000+0000,2013 AFL NAB Cup,1,Marvel Stadium,Richmond,6,8,Kangaroos,7,6
CD_M20131010113,2013,2013-02-23T08:40:00.000+0000,2013 AFL NAB Cup,1,People First Stadium,Gold Coast,4,6,Hawthorn,4,5
CD_M20131010114,2013,2013-02-23T09:45:00.000+0000,2013 AFL NAB Cup,1,People First Stadium,Brisbane Lions,4,8,Hawthorn,1,5
CD_M20131010115,2013,2013-02-23T10:50:00.000+0000,2013 AFL NAB Cup,1,People First Stadium,Gold Coast,3,6,Brisbane Lions,6,3
CD_M20131010116,2013,2013-02-24T05:40:00.000+0000,2013 AFL NAB Cup,1,Blacktown ISP,Greater Western Sydney,5,2,Carlton,4,10
CD_M20131010117,2013,2013-02-24T06:45:00.000+0000,2013 AFL NAB Cup,1,Blacktown ISP,Sydney,3,6,Carlton,5,7
CD_M20131010118,2013,2013-02-24T07:50:00.000+0000,2013 AFL NAB Cup,1,Blacktown ISP,Greater Western Sydney,7,10,Sydney,3,1
