squiggle_game_id,match_id,date,round,home_team,away_team,actual_margin,repository_actual_margin,challenger_margin,challenger_abs_error,wheelo_margin,wheelo_abs_error,scoring_shots_margin,scoring_shots_abs_error
38494,031620260305,2026-03-05,0,Sydney,Carlton,63.0,63.0,12.24468461090508,50.75531538909492,14.6,48.4,9.997099163528288,53.00290083647171
38495,092020260306,2026-03-06,0,Gold Coast,Geelong,56.0,56.0,1.9368955779422103,54.06310442205779,1.9,54.1,-6.037538853602448,62.03753885360245
38496,102120260307,2026-03-07,0,Greater Western Sydney,Hawthorn,27.0,27.0,3.156361681301932,23.84363831869807,-12.4,39.4,-4.956642913085898,31.956642913085897
38497,071920260307,2026-03-07,0,Brisbane Lions,Western Bulldogs,-5.0,-5.0,8.032551848571789,13.032551848571789,16.6,21.6,10.09593769554105,15.09593769554105
38498,041520260308,2026-03-08,0,St Kilda,Collingwood,-12.0,-12.0,3.2800791945827807,15.28007919458278,-2.6,9.4,-13.21721490093458,1.2172149009345805
38499,031420260312,2026-03-12,1,Carlton,Richmond,4.0,4.0,21.604193837368385,17.604193837368385,14.8,10.8,26.556637630966982,22.556637630966982
38500,051020260313,2026-03-13,1,Essendon,Hawthorn,-62.0,-62.0,-26.463503203728095,35.536496796271905,-40.9,21.1,-25.80312364516562,36.19687635483438
38501,072120260314,2026-03-14,1,Western Bulldogs,Greater Western Sydney,81.0,81.0,34.46649788912583,46.53350211087417,28.4,52.6,25.336813822560586,55.663186177439414
38502,080920260314,2026-03-14,1,Geelong,Fremantle,10.0,10.0,15.060343369941023,5.060343369941023,18.9,8.899999999999999,21.356167540938145,11.356167540938145
38503,161920260314,2026-03-14,1,Sydney,Brisbane Lions,44.0,44.0,4.382740275199954,39.61725972480005,11.9,32.1,-10.899869143159169,54.899869143159165
38504,010420260314,2026-03-14,1,Collingwood,Adelaide,-14.0,-14.0,-2.85524120046942,11.14475879953058,16.1,30.1,12.729641073279586,26.729641073279588
38505,121320260315,2026-03-15,1,Kangaroos,Port Adelaide,46.0,46.0,-0.03202970955738191,46.032029709557385,9.4,36.6,-4.733473135782004,50.733473135782006
38506,111520260315,2026-03-15,1,Melbourne,St Kilda,13.0,13.0,2.843516525079981,10.15648347492002,-6.1,19.1,16.59890312627698,3.59890312627698
38507,182020260315,2026-03-15,1,Gold Coast,West Coast,59.0,59.0,57.26989953794971,1.730100462050288,62.9,3.8999999999999986,48.209290932017716,10.790709067982284
38508,101620260319,2026-03-19,2,Hawthorn,Sydney,17.0,17.0,-4.455977159223606,21.455977159223607,19.6,2.6000000000000014,17.27948268377155,0.27948268377155117
38509,010720260320,2026-03-20,2,Adelaide,Western Bulldogs,-6.0,-6.0,-14.236436483426353,8.236436483426353,-5.7,0.2999999999999998,-5.889787538194708,0.11021246180529243
38510,142020260321,2026-03-21,2,Richmond,Gold Coast,-68.0,-68.0,-22.049269527716632,45.95073047228337,-22.4,45.6,-24.81179652454942,43.18820347545058
38511,152120260321,2026-03-21,2,Greater Western Sydney,St Kilda,-4.0,-4.0,0.2200000546328269,4.220000054632827,-1.0,3.0,14.826608043021771,18.82660804302177
38512,081120260321,2026-03-21,2,Fremantle,Melbourne,48.0,48.0,8.790900193633405,39.209099806366595,18.5,29.5,13.500476438947926,34.49952356105207
38513,051320260322,2026-03-22,2,Port Adelaide,Essendon,63.0,63.0,30.407268809939275,32.592731190060725,19.6,43.4,19.862761926093118,43.137238073906886
38514,121820260322,2026-03-22,2,West Coast,Kangaroos,17.0,17.0,-21.54365343995197,38.54365343995197,-11.7,28.7,-1.1798115404936171,18.179811540493617
38515,010920260326,2026-03-26,3,Geelong,Adelaide,8.0,8.0,5.972129694147305,2.0278703058526952,22.9,14.899999999999999,15.94822686522082,7.9482268652208194
38516,042120260327,2026-03-27,3,Collingwood,Greater Western Sydney,33.0,33.0,10.57482611136566,22.42517388863434,23.0,10.0,16.616767411830875,16.383232588169125
38517,151920260328,2026-03-28,3,St Kilda,Brisbane Lions,-33.0,-33.0,-8.177739142023897,24.822260857976104,-4.9,28.1,-16.878598643598057,16.121401356401943
38518,081420260328,2026-03-28,3,Fremantle,Richmond,60.0,60.0,44.88173073094232,15.118269269057677,55.5,4.5,39.965395187123015,20.034604812876985
38519,051220260328,2026-03-28,3,Essendon,Kangaroos,-12.0,-12.0,-30.518158108276538,18.518158108276538,-19.2,7.199999999999999,2.9617632797322773,14.961763279732278
