MatchID,Year,Round,Date,Venue,Time,HomeTeam,HomeScore,AwayTeam,AwayScore,Margin
2012R101,2012,R1,24-Mar-2012,Accor Stadium,7:20 PM (AEDT),Greater Western Sydney,37,Sydney,100,63
2012R102,2012,R1,29-Mar-2012,MCG,7:45 PM (AEDT),Richmond,81,Carlton,125,44
2012R103,2012,R1,30-Mar-2012,MCG,7:50 PM (AEDT),Hawthorn,137,Collingwood,115,22
2012R104,2012,R1,31-Mar-2012,MCG,1:45 PM (AEDT),Melbourne,78,Brisbane Lions,119,41
2012R105,2012,R1,31-Mar-2012,Heritage Bank Stadium,4:45 PM (AEDT),Gold Coast,68,Adelaide,137,69
2012R106,2012,R1,31-Mar-2012,Domain Stadium,7:45 PM (AEDT),Fremantle,105,Geelong,101,4
2012R107,2012,R1,31-Mar-2012,Marvel Stadium,7:45 PM (AEDT),North Melbourne,102,Essendon,104,2
2012R108,2012,R1,01-Apr-2012,Marvel Stadium,1:10 PM (AEST),Western Bulldogs,87,West Coast,136,49
2012R109,2012,R1,01-Apr-2012,AAMI Stadium,4:40 PM (AEST),Port Adelaide,89,St Kilda,85,4
2012R201,2012,R2,05-Apr-2012,Gabba,7:40 PM (AEST),Brisbane Lions,63,Carlton,154,91
2012R202,2012,R2,07-Apr-2012,Marvel Stadium,1:45 PM (AEST),Essendon,111,Port Adelaide,86,25
2012R203,2012,R2,07-Apr-2012,SCG,2:10 PM (AEST),Sydney,94,Fremantle,81,13
2012R204,2012,R2,07-Apr-2012,Domain Stadium,4:40 PM (AEST),West Coast,166,Melbourne,58,108
2012R205,2012,R2,07-Apr-2012,MCG,7:40 PM (AEST),Collingwood,85,Richmond,64,21
2012R206,2012,R2,07-Apr-2012,AAMI Stadium,7:40 PM (AEST),Adelaide,82,Western Bulldogs,64,18
2012R207,2012,R2,08-Apr-2012,Blundstone Arena,1:10 PM (AEST),North Melbourne,183,Greater Western Sydney,54,129
2012R208,2012,R2,08-Apr-2012,Marvel Stadium,4:40 PM (AEST),St Kilda,139,Gold Coast,47,92
2012R209,2012,R2,09-Apr-2012,MCG,3:10 PM (AEST),Geelong,92,Hawthorn,90,2
2012R301,2012,R3,13-Apr-2012,MCG,7:50 PM (AEST),Carlton,122,Collingwood,62,60
2012R302,2012,R3,14-Apr-2012,MCG,1:45 PM (AEST),Richmond,133,Melbourne,74,59
2012R303,2012,R3,14-Apr-2012,AAMI Stadium,2:10 PM (AEST),Port Adelaide,83,Sydney,105,22
2012R304,2012,R3,14-Apr-2012,Domain Stadium,4:40 PM (AEST),Fremantle,64,Brisbane Lions,35,29
2012R305,2012,R3,14-Apr-2012,Heritage Bank Stadium,7:40 PM (AEST),Gold Coast,88,Essendon,105,17
2012R306,2012,R3,14-Apr-2012,Marvel Stadium,7:40 PM (AEST),Western Bulldogs,40,St Kilda,103,63
2012R307,2012,R3,15-Apr-2012,Blacktown ISP,1:10 PM (AEST),Greater Western Sydney,69,West Coast,150,81
2012R308,2012,R3,15-Apr-2012,MCG,3:15 PM (AEST),Hawthorn,140,Adelaide,84,56
2012R309,2012,R3,15-Apr-2012,Marvel Stadium,4:40 PM (AEST),North Melbourne,131,Geelong,114,17
2012R401,2012,R4,20-Apr-2012,Marvel Stadium,7:50 PM (AEST),St Kilda,79,Fremantle,92,13
2012R402,2012,R4,21-Apr-2012,MCG,1:45 PM (AEST),Carlton,79,Essendon,109,30
2012R403,2012,R4,21-Apr-2012,Marvel Stadium,2:10 PM (AEST),Collingwood,97,Port Adelaide,73,24
2012R404,2012,R4,21-Apr-2012,AAMI Stadium,4:40 PM (AEST),Adelaide,96,Greater Western Sydney,50,46
2012R405,2012,R4,21-Apr-2012,Domain Stadium,7:40 PM (AEST),West Coast,51,Hawthorn,46,5
2012R406,2012,R4,21-Apr-2012,Gabba,7:40 PM (AEST),Brisbane Lions,111,Gold Coast,46,65
2012R407,2012,R4,22-Apr-2012,GMHBA Stadium,1:10 PM (AEST),Geelong,75,Richmond,65,10
2012R408,2012,R4,22-Apr-2012,SCG,3:15 PM (AEST),Sydney,113,North Melbourne,77,36
