date,home_team,away_team,venue,weather_temp_c,weather_rain_mm,weather_wind_kmh,weather_humidity_pct,attendance,projected_attendance,venue_length_m,venue_width_m,venue_capacity
2012-03-24,Greater Western Sydney,Sydney,Stadium Australia,17.2,0.0,18.3,53,,51770.0,170.0,145.0,83500.0
2012-03-29,Richmond,Carlton,M.C.G.,17.2,0.4,9.2,76,,62014.88,160.0,141.0,100024.0
2012-03-30,Hawthorn,Collingwood,M.C.G.,19.2,0.0,18.9,70,,62014.88,160.0,141.0,100024.0
2012-03-31,Gold Coast,Adelaide,Carrara,21.4,0.1,18.0,80,,16740.0,159.0,134.0,27000.0
2012-03-31,Kangaroos,Essendon,Docklands,21.0,0.8,32.1,57,,32860.0,159.5,128.8,53000.0
2012-03-31,Fremantle,Geelong,Subiaco,18.2,0.0,17.3,58,,26660.0,175.0,122.0,43000.0
2012-03-31,Melbourne,Brisbane Lions,M.C.G.,20.9,0.8,32.1,57,,62014.88,160.0,141.0,100024.0
2012-04-01,Western Bulldogs,West Coast,Docklands,16.6,0.6,15.1,71,,32860.0,159.5,128.8,53000.0
2012-04-01,Port Adelaide,St Kilda,Football Park,17.6,0.0,10.8,67,,31620.0,167.0,123.0,51000.0
2012-04-05,Brisbane Lions,Carlton,Gabba,21.7,0.0,12.2,76,,26040.0,156.0,138.0,42000.0
2012-04-07,Adelaide,Western Bulldogs,Football Park,16.2,0.0,24.9,54,,31620.0,167.0,123.0,51000.0
2012-04-07,Collingwood,Richmond,M.C.G.,14.7,0.0,30.8,58,,62014.88,160.0,141.0,100024.0
2012-04-07,Essendon,Port Adelaide,Docklands,14.7,0.0,30.8,57,,32860.0,159.5,128.8,53000.0
2012-04-07,Sydney,Fremantle,S.C.G.,20.3,0.0,24.7,71,,29760.0,155.0,136.0,48000.0
2012-04-07,West Coast,Melbourne,Subiaco,20.6,0.0,18.7,46,,26660.0,175.0,122.0,43000.0
2012-04-08,Kangaroos,Greater Western Sydney,Bellerive Oval,12.9,2.4,26.3,63,,12400.0,175.0,135.0,20000.0
2012-04-08,St Kilda,Gold Coast,Docklands,14.5,0.0,14.9,62,,32860.0,159.5,128.8,53000.0
2012-04-09,Geelong,Hawthorn,M.C.G.,12.3,6.7,28.6,70,,62014.88,160.0,141.0,100024.0
2012-04-13,Carlton,Collingwood,M.C.G.,15.7,0.0,13.1,66,,62014.88,160.0,141.0,100024.0
2012-04-14,Gold Coast,Essendon,Carrara,20.6,2.6,14.1,81,,16740.0,159.0,134.0,27000.0
2012-04-14,Western Bulldogs,St Kilda,Docklands,17.5,0.0,20.2,50,,32860.0,159.5,128.8,53000.0
2012-04-14,Fremantle,Brisbane Lions,Subiaco,19.6,0.0,21.6,68,,26660.0,175.0,122.0,43000.0
2012-04-14,Richmond,Melbourne,M.C.G.,17.4,0.0,20.2,52,,62014.88,160.0,141.0,100024.0
2012-04-14,Port Adelaide,Sydney,Football Park,20.8,0.0,17.4,42,,31620.0,167.0,123.0,51000.0
2012-04-15,Hawthorn,Adelaide,M.C.G.,19.6,0.0,21.7,56,,62014.88,160.0,141.0,100024.0
2012-04-15,Kangaroos,Geelong,Docklands,19.7,0.0,21.7,53,,32860.0,159.5,128.8,53000.0
2012-04-15,Greater Western Sydney,West Coast,Blacktown,19.2,0.0,6.3,76,,6200.0,160.0,130.0,10000.0
2012-04-20,St Kilda,Fremantle,Docklands,17.4,1.5,9.2,82,,32860.0,159.5,128.8,53000.0
2012-04-21,Adelaide,Greater Western Sydney,Football Park,20.1,2.8,28.8,61,,31620.0,167.0,123.0,51000.0
2012-04-21,Carlton,Essendon,M.C.G.,17.5,0.0,6.9,82,,62014.88,160.0,141.0,100024.0
2012-04-21,Collingwood,Port Adelaide,Docklands,17.6,0.0,6.9,80,,32860.0,159.5,128.8,53000.0
2012-04-21,West Coast,Hawthorn,Subiaco,16.4,0.1,19.5,67,,26660.0,175.0,122.0,43000.0
2012-04-21,Brisbane Lions,Gold Coast,Gabba,21.8,0.0,10.3,84,,26040.0,156.0,138.0,42000.0
2012-04-22,Melbourne,Western Bulldogs,M.C.G.,17.7,8.1,24.9,79,,62014.88,160.0,141.0,100024.0
2012-04-22,Geelong,Richmond,Kardinia Park,18.1,4.2,24.7,73,,24800.0,170.0,115.0,40000.0
2012-04-22,Sydney,Kangaroos,S.C.G.,20.1,0.0,10.0,85,,29760.0,155.0,136.0,48000.0
2012-04-25,Collingwood,Essendon,M.C.G.,12.5,6.4,28.3,82,,62014.88,160.0,141.0,100024.0
2012-04-27,Fremantle,Carlton,Subiaco,23.6,0.0,18.5,32,,26660.0,175.0,122.0,43000.0
2012-04-28,Greater Western Sydney,Western Bulldogs,Manuka Oval,10.8,0.0,16.4,80,,9300.0,170.0,130.0,15000.0
2012-04-28,Brisbane Lions,Geelong,Gabba,18.4,34.8,16.6,95,,26040.0,156.0,138.0,42000.0
2012-04-28,Melbourne,St Kilda,M.C.G.,14.1,0.3,21.6,73,,62014.88,160.0,141.0,100024.0
2012-04-28,Kangaroos,Gold Coast,Docklands,14.2,0.3,21.6,72,,32860.0,159.5,128.8,53000.0
